Hyphen	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
KNOP1	2156	2665	1992	2162	2241	1803
KNSTRN	4292	5591	4146	5633	5971	3973
KNTC1	2823	2879	2783	2754	2544	2883
KPNA1	2014	2277	1940	2504	1815	1934
KPNA2	56744	67591	54054	69534	70466	50221
KPNA3	4063	4549	4100	6294	4783	3994
KPNA4	2059	1520	1740	1990	1550	1120
KPNA5	264	261	366	372	273	277
KPNA6	9485	10930	7961	9984	12921	8752
KPNA7	1	0	0	0	0	0
KPNB1	12179	13519	10124	11868	10717	10533
KPRP	0	0	0	0	0	0
KPTN	230	187	178	207	179	148
KRAS	1479	1220	1667	1298	1179	980
KRBA1	67	40	35	57	52	70
KRBA2	21	26	20	27	37	31
KRBOX1	1	0	1	0	1	0
KRBOX4	681	609	611	928	924	767
KRCC1	353	378	323	472	409	410
KREMEN1	49	69	66	132	126	95
KREMEN2	1	1	2	0	1	0
KRI1	871	714	529	807	754	569
KRIT1	1551	1547	1316	1611	1379	1274
KRR1	3165	3358	3723	3257	2589	2722
KRT1	0	0	0	0	0	0
KRT10	433	464	508	516	288	402
KRT12	0	0	0	0	0	0
KRT13	0	0	0	0	0	0
KRT14	1	0	0	0	0	2
KRT15	7	8	21	2	14	13
KRT16	2	7	10	2	0	1
KRT17	1	5	10	3	2	2
KRT18	4689	4944	5654	4216	3793	4746
KRT19	11302	15192	17496	7133	9453	14015
KRT2	0	0	0	0	0	0
KRT20	15	0	0	0	0	0
KRT222	2	3	6	5	6	4
KRT23	6	3	3	0	0	1
KRT24	0	0	0	0	0	0
KRT25	0	0	0	0	0	0
KRT26	0	0	0	0	0	0
KRT27	1	0	1	1	0	0
KRT28	1	0	0	0	0	1
KRT3	1	0	0	0	0	0
KRT31	0	0	0	2	0	0
KRT32	0	0	0	0	0	0
KRT33A	0	0	0	0	0	0
KRT33B	0	0	0	0	0	0
KRT34	0	0	0	0	0	0
KRT35	0	0	0	0	1	0
KRT36	0	2	0	0	1	0
KRT37	0	0	0	0	0	0
KRT38	1	0	0	0	0	0
KRT39	1	0	0	0	0	0
KRT4	0	0	0	0	0	1
KRT40	2	0	0	0	0	0
KRT5	0	0	0	0	0	1
KRT6A	0	0	0	0	0	1
KRT6B	0	0	0	0	0	1
KRT6C	0	0	0	0	0	0
KRT7	9	2	3	1	3	2
KRT71	0	1	4	1	2	6
KRT72	3	2	0	2	0	1
KRT73	0	0	0	0	0	0
KRT74	1	0	1	2	0	1
KRT75	0	0	0	0	0	0
KRT76	0	0	0	0	0	0
KRT77	0	0	0	0	0	0
KRT78	0	0	0	0	0	0
KRT79	0	0	0	0	0	0
KRT8	9337	10388	11274	7893	11037	8683
KRT80	4	0	1	0	4	0
KRT81	0	0	0	2	0	0
KRT82	0	0	0	0	0	0
KRT83	0	0	0	0	0	0
KRT84	0	0	0	0	0	0
KRT85	0	0	0	0	0	0
KRT86	1	0	0	2	0	0
KRT9	0	1	1	0	0	0
KRTCAP2	312	400	278	383	385	343
KRTCAP3	371	348	383	146	195	172
KRTDAP	5	7	11	2	4	4
KSR1	169	165	89	310	301	189
KSR2	37	5	25	5	4	4
KTI12	261	225	210	308	165	174
KTN1	5753	5556	5668	6543	4794	5555
KXD1	1371	1222	1141	1685	1670	1209
KY	0	3	2	5	4	5
KYNU	15	27	35	240	82	127
L1CAM	83	64	58	61	53	94
L1TD1	8267	3126	6208	1513	991	1087
L2HGDH	243	259	262	228	192	223
L3HYPDH	281	183	238	334	232	192
L3MBTL1	60	84	75	28	74	75
L3MBTL2	1080	991	752	1048	1288	683
L3MBTL3	690	680	801	931	836	694
L3MBTL4	16	3	11	6	3	7
LACC1	17	21	43	66	37	26
LACRT	0	0	0	0	0	0
LACTB	97	88	139	115	111	104
LACTB2	789	443	879	708	458	364
LACTBL1	0	0	0	0	0	0
LAD1	128	44	59	21	10	15
LAG3	11	12	21	17	22	10
LAGE3	297	362	278	424	302	273
LAIR1	0	0	0	0	2	0
LAIR2	0	0	0	0	0	0
LALBA	0	0	0	1	1	1
LAMA1	1001	1345	1021	1607	2165	1620
LAMA2	97	86	137	223	139	161
LAMA3	9	9	2	7	2	5
LAMA4	16	13	17	22	15	14
LAMA5	52	45	68	50	53	70
LAMB1	3082	3902	3297	4804	5283	4610
LAMB2	360	345	293	462	592	453
LAMB3	2	4	4	2	0	1
LAMB4	1	1	0	0	3	3
LAMC1	3439	3290	2612	2794	3559	2545
