Hyphen	Neg1	Neg2	Neg3	Pos1	Pos2	Pos3
A1BG	4	9	2	9	7	7
A1CF	2	0	5	0	3	7
A2M	11	15	16	8	15	18
A2ML1	50	30	65	4	6	9
A3GALT2	0	0	0	0	0	0
A4GALT	8	4	3	1	1	3
A4GNT	0	0	0	0	0	3
AAAS	2792	3196	2672	3288	4377	2859
AACS	681	634	570	702	851	610
AADAC	0	4	13	9	46	27
AADACL2	0	0	0	0	0	0
AADACL3	2	0	1	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	699	600	628	681	492	492
AAGAB	4394	4275	3612	3724	3899	2906
AAK1	877	934	686	1031	1123	910
AAMDC	278	507	374	1335	969	916
AAMP	4947	4768	4045	4856	6841	3812
AANAT	5	1	2	3	1	2
AAR2	3523	3601	2771	3651	3402	2589
AARD	16	16	27	29	14	48
AARS2	244	245	170	281	254	178
AARSD1	167	136	96	118	136	133
AASDH	768	874	759	709	695	747
AASDHPPT	4506	3885	4515	6003	4038	3505
AASS	2825	3311	2863	3588	3856	2938
AATF	811	734	612	711	545	476
AATK	1	1	0	0	0	1
ABAT	116	91	63	162	184	121
ABCA1	946	808	1534	2577	5067	3155
ABCA10	1	1	0	8	3	1
ABCA12	5	4	4	2	5	6
ABCA13	13	11	13	4	11	5
ABCA2	6	6	6	6	8	10
ABCA3	4	2	2	1	1	1
ABCA4	59	95	54	252	297	227
ABCA5	239	181	203	157	174	225
ABCA6	1	6	6	3	0	0
ABCA7	38	55	107	31	51	139
ABCA8	7	10	12	37	20	20
ABCA9	1	4	4	12	11	13
ABCB1	14	17	6	52	15	4
ABCB10	320	227	363	380	270	187
ABCB11	0	0	2	2	0	0
ABCB4	51	56	24	170	80	114
ABCB5	4	4	3	0	0	2
ABCB6	42	39	28	48	75	50
ABCB7	2328	2584	2389	2304	2427	2071
ABCB8	177	125	113	248	181	144
ABCB9	41	35	30	41	64	54
ABCC1	54	39	40	32	85	45
ABCC10	183	192	162	266	345	219
ABCC11	4	10	2	4	4	3
ABCC12	8	9	8	1	3	2
ABCC2	17	27	18	12	29	22
ABCC3	7	11	16	9	1	4
ABCC4	520	557	346	451	412	370
ABCC5	1775	1927	1428	1549	1738	1308
ABCC6	0	0	2	1	0	1
ABCC8	10	3	1	5	2	0
ABCC9	32	22	30	19	24	34
ABCD1	27	18	10	46	20	25
ABCD2	7	5	7	12	7	8
ABCD3	2658	2511	2203	3252	2532	1853
ABCD4	1496	1382	1233	1417	1842	1440
ABCE1	7835	7958	7359	11625	7865	6837
ABCF1	2160	2457	1908	2228	2063	1813
ABCF2	2723	3147	2241	3441	3639	2212
ABCF3	1777	1777	1355	1865	2527	1433
ABCG1	7	6	5	5	8	25
ABCG2	4751	5505	5120	2892	2376	2794
ABCG4	10	6	3	5	7	9
ABCG5	7	2	3	3	2	3
ABCG8	1	0	0	0	0	0
ABHD1	5	4	5	4	8	1
ABHD10	1561	1430	1821	2197	1737	1435
ABHD11	206	186	201	247	148	133
ABHD12	264	263	225	236	238	264
ABHD12B	922	485	1145	101	96	146
ABHD13	693	603	717	991	539	523
ABHD14A	109	132	88	184	245	154
ABHD14B	132	120	94	148	201	132
ABHD15	29	18	23	22	20	20
ABHD16A	0	0	0	0	0	0
ABHD16B	0	0	0	0	0	0
ABHD17A	4	4	5	3	7	5
ABHD17B	368	248	322	427	308	187
ABHD17C	307	269	228	438	210	209
ABHD2	344	344	254	385	431	367
ABHD3	323	273	261	378	271	229
ABHD4	1223	994	866	812	1119	760
ABHD5	447	386	410	511	426	315
ABHD6	136	87	91	68	59	59
ABHD8	1	9	3	2	4	3
ABI1	2928	2656	2877	3763	3549	2468
ABI2	2921	2779	2801	3038	2896	2803
ABI3	18	25	30	41	60	70
ABI3BP	28	12	27	21	12	37
ABL1	369	321	256	334	382	308
ABL2	680	822	694	771	950	764
ABLIM1	5729	4892	3727	2932	2797	2762
ABLIM2	0	1	3	3	1	1
ABLIM3	10	8	11	0	8	6
ABO	2	8	4	17	18	17
ABR	23	20	20	26	41	20
ABRA	6	2	12	9	10	9
ABRACL	7529	6121	7682	6272	4960	4112
ABT1	3592	3870	3151	4772	4943	3111
ABTB1	24	43	16	37	38	40
ABTB2	177	173	118	265	173	142
AC002456-2	6	5	3	15	10	7
AC003006-1	0	0	0	0	0	0
AC003688-1	0	0	0	0	0	0
AC005702-1	0	6	3	8	3	3
AC007040-2	0	0	0	0	0	0
AC010323-1	0	0	0	1	0	0
AC010522-1	6	7	3	2	2	8
AC011499-1	0	0	1	0	0	1
AC013477-1	1	1	2	0	3	0
AC018512-1	1	0	0	0	0	0
AC019117-1	0	0	0	0	0	0
AC020922-1	0	0	0	2	0	0
AC022384-1	0	0	0	0	0	0
AC026954-6	0	0	1	0	0	0
AC034228-3	3	5	2	4	4	2
AC040162-1	0	0	0	0	0	0
AC053503-6	0	0	0	0	0	0
AC068831-6	8	5	6	5	8	6
AC068946-1	0	0	0	0	0	0
AC078927-1	0	0	0	0	0	0
AC079741-2	4	3	1	5	4	1
AC091167-2	0	0	0	0	0	0
AC092854-1	0	0	0	0	0	0
AC093668-1	0	0	0	0	0	0
AC098650-1	0	2	0	0	0	1
AC105052-1	0	0	0	0	0	0
AC107871-1	0	0	0	0	0	0
AC124312-1	2	2	1	0	4	2
AC131160-1	0	0	0	0	0	0
AC138647-1	0	0	0	0	0	0
AC138969-1	0	0	0	0	0	0
AC144573-1	0	1	0	0	0	0
AC231656-1	0	0	0	0	0	0
AC245033-1	0	0	0	0	0	0
ACAA1	88	76	68	118	104	62
ACAA2	6849	6834	5710	7557	6771	5506
ACACA	425	555	397	504	540	416
ACACB	50	22	47	34	42	40
ACAD10	360	355	366	338	478	448
ACAD11	24	13	15	26	11	10
ACAD8	533	514	586	493	571	409
ACAD9	1288	1222	966	1519	1386	978
ACADL	14	9	13	10	20	15
ACADM	4552	4622	4732	4848	3571	3279
ACADS	19	29	26	25	17	26
ACADSB	690	566	630	845	755	605
ACADVL	428	504	460	513	631	587
ACAN	22	26	18	33	34	33
ACAP1	35	32	20	19	17	27
ACAP2	1065	819	991	1307	826	802
ACAP3	17	21	16	24	27	26
ACAT1	2126	2159	2145	2381	2649	1968
ACAT2	27895	33110	23117	46494	43377	23829
ACBD3	873	709	874	998	888	717
ACBD4	8	4	5	9	6	4
ACBD5	887	774	894	1033	812	837
ACBD6	647	619	694	728	684	645
ACBD7	27	18	20	7	9	7
ACCS	82	72	100	89	173	113
ACCSL	0	0	0	0	0	0
ACD	434	381	322	530	485	369
ACE	49	41	19	28	39	32
ACE2	5	13	12	41	28	23
ACER1	0	0	0	0	0	0
ACER2	24	26	15	17	25	11
ACER3	682	469	536	753	566	486
ACHE	20	22	15	17	22	17
ACIN1	1451	1386	988	1344	1576	1157
ACKR1	9	2	3	13	7	3
ACKR2	13	7	5	5	8	22
ACKR3	1336	2159	1538	10639	7708	5704
ACKR4	1	0	0	2	0	0
ACLY	19510	21142	16836	23026	24367	15733
ACMSD	21	5	9	11	7	4
ACO1	2620	2904	2207	2913	2206	2249
ACO2	1690	1702	1414	2156	2453	1558
ACOT1	4	4	5	8	16	9
ACOT11	47	24	34	26	34	31
ACOT12	3	0	3	2	1	1
ACOT13	1181	1303	1277	1120	1194	1055
ACOT2	26	41	41	32	58	47
ACOT4	9	16	14	11	7	10
ACOT6	0	0	0	0	0	0
ACOT7	2141	2029	1753	2723	2751	1589
ACOT8	385	404	363	361	513	380
ACOT9	1910	2280	1920	2185	2173	1783
ACOX1	1434	2033	1624	1553	1895	1636
ACOX2	118	59	97	112	100	81
ACOX3	536	639	487	584	612	476
ACOXL	49	32	48	4	12	13
ACP1	8465	8720	8322	10701	9059	7864
ACP2	918	997	739	1239	1599	913
ACP5	22	14	18	13	8	7
ACP6	151	105	145	83	98	134
ACR	0	0	0	0	0	0
ACRBP	15	23	34	19	36	36
ACRV1	57	64	48	71	59	58
ACSBG1	9	6	11	4	6	6
ACSBG2	2	2	0	2	5	9
ACSF2	142	194	160	118	163	158
ACSF3	285	262	187	319	302	252
ACSL1	256	159	197	209	108	103
ACSL3	3517	3279	3514	3798	2101	2639
ACSL4	2960	2700	3102	3956	2408	1930
ACSL5	9	5	10	11	9	7
ACSL6	79	62	59	33	57	38
ACSM1	10	18	10	6	21	20
ACSM2A	0	0	0	2	0	1
ACSM2B	0	0	0	0	0	0
ACSM3	180	279	151	279	228	258
ACSM4	0	0	0	2	0	0
ACSM5	0	0	2	5	1	1
ACSM6	16	9	4	6	12	8
ACSS1	1	4	1	2	3	4
ACSS2	558	634	571	943	744	602
ACSS3	348	309	440	315	267	362
ACTA1	394	123	215	22	62	30
ACTA2	41	42	44	228	447	202
ACTB	283669	291462	233731	329592	292178	230821
ACTBL2	2	1	3	20	30	19
ACTC1	11284	14548	8777	22215	23218	15734
ACTG1	124230	106896	96919	107903	97456	86903
ACTG2	86	21	31	28	17	18
ACTL10	0	2	1	1	0	3
ACTL6A	6620	6575	6240	6941	6173	4984
ACTL6B	2	2	14	2	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	1	0	0
ACTL8	12	4	5	8	4	1
ACTL9	0	0	0	0	0	0
ACTN1	2595	2334	2230	2612	2726	2195
ACTN2	19	31	28	29	64	39
ACTN3	4	3	11	0	3	2
ACTN4	768	711	547	832	643	652
ACTR10	3337	3566	3502	4610	3908	3470
ACTR1A	2606	3180	2412	3419	3518	2687
ACTR1B	209	292	199	271	452	254
ACTR2	7077	6656	7240	8232	7202	5948
ACTR3	7627	5774	6623	9501	5751	5295
ACTR3B	197	187	199	204	145	105
ACTR3C	6	11	4	8	7	5
ACTR5	146	120	107	121	134	94
ACTR6	1982	1895	2849	2101	1817	1612
ACTR8	955	983	773	1031	973	799
ACTRT1	0	0	0	1	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	71	43	31	38	31	23
ACVR1	276	325	269	475	455	345
ACVR1B	157	187	165	185	265	217
ACVR1C	31	12	38	10	29	13
ACVR2A	4137	4046	3503	3528	3093	2883
ACVR2B	1892	2121	1936	1463	1966	1633
ACVRL1	63	89	95	165	337	249
ACY1	30	28	16	19	26	10
ACY3	0	1	1	1	1	0
ACYP1	589	755	715	767	676	586
ACYP2	83	75	98	110	54	75
ADA	545	683	617	522	658	771
ADAD1	0	0	0	3	0	1
ADAD2	0	1	1	0	0	0
ADAL	798	864	749	837	746	686
ADAM10	10269	10064	10878	16188	13661	11719
ADAM11	16	7	13	6	6	13
ADAM12	56	111	76	93	231	291
ADAM15	74	57	53	111	97	73
ADAM17	1490	1565	1325	1992	1902	1570
ADAM18	8	5	6	4	1	4
ADAM19	11547	14620	10773	12248	12485	9281
ADAM2	0	0	0	0	0	0
ADAM20	2	2	6	1	3	5
ADAM21	10	12	19	7	20	24
ADAM22	104	75	95	115	84	84
ADAM23	58	57	56	115	124	84
ADAM28	5	2	12	8	17	14
ADAM29	22	16	8	25	30	22
ADAM30	0	0	0	0	0	0
ADAM32	2	2	1	3	3	0
ADAM33	23	30	27	24	51	47
ADAM7	4	4	0	5	5	1
ADAM8	2	10	6	1	2	0
ADAM9	950	1307	1045	2601	2175	2127
ADAMDEC1	0	0	0	0	1	0
ADAMTS1	1457	1668	1308	1794	1984	1515
ADAMTS10	15	12	8	7	15	13
ADAMTS12	185	292	228	320	397	332
ADAMTS13	23	11	24	23	31	19
ADAMTS14	4	0	4	1	0	2
ADAMTS15	10	5	2	3	4	19
ADAMTS16	36	5	21	1	2	4
ADAMTS17	10	4	8	29	22	16
ADAMTS18	84	101	94	175	245	200
ADAMTS19	257	152	259	83	120	62
ADAMTS2	13	19	22	29	78	45
ADAMTS20	57	56	142	85	85	155
ADAMTS3	333	223	243	372	329	253
ADAMTS4	342	494	408	441	598	510
ADAMTS5	30	7	5	25	8	10
ADAMTS6	146	205	185	111	262	326
ADAMTS7	26	21	27	31	27	17
ADAMTS8	12	16	13	5	9	8
ADAMTS9	330	664	607	809	1907	1467
ADAMTSL1	24	20	9	200	146	82
ADAMTSL2	30	28	29	22	27	24
ADAMTSL3	10	13	11	40	33	17
ADAMTSL4	11	2	6	5	7	10
ADAMTSL5	11	6	5	18	15	13
ADAP1	2	0	4	0	1	1
ADAP2	4	2	0	1	3	0
ADAR	4017	4171	3354	4184	5091	3460
ADARB1	92	132	100	115	122	130
ADARB2	1	0	1	2	0	6
ADAT1	1114	1222	866	1214	1236	883
ADAT2	784	897	814	906	746	814
ADAT3	5	6	1	1	1	3
ADCK1	251	209	160	206	231	164
ADCK2	21	9	17	9	11	13
ADCK5	49	55	48	86	65	55
ADCY1	76	37	59	55	68	29
ADCY10	24	45	40	35	53	31
ADCY2	381	308	347	199	185	195
ADCY3	359	339	241	332	480	258
ADCY4	2	2	2	1	8	5
ADCY5	21	28	27	15	8	5
ADCY6	66	80	63	108	228	123
ADCY7	15	5	6	14	26	13
ADCY8	7	2	17	1	3	14
ADCY9	36	56	43	65	60	62
ADCYAP1	0	0	0	0	2	0
ADCYAP1R1	69	40	61	21	30	24
ADD1	3026	3139	2602	3578	3240	2875
ADD2	3112	2235	1539	4250	3271	1287
ADD3	2427	1903	2486	2063	2057	2323
ADGB	2	0	1	5	0	3
ADGRA1	2	3	4	5	4	3
ADGRA2	56	103	54	209	415	196
ADGRA3	752	698	688	857	712	562
ADGRB1	9	6	8	12	6	5
ADGRB2	9	4	6	10	6	11
ADGRB3	9	10	10	5	15	10
ADGRD1	29	26	28	6	5	13
ADGRD2	2	0	0	0	0	0
ADGRE1	1	0	2	0	1	0
ADGRE2	25	15	23	13	22	7
ADGRE3	0	0	0	0	0	0
ADGRE5	57	75	59	218	272	178
ADGRF1	1	0	0	0	1	1
ADGRF2	50	141	116	59	117	140
ADGRF3	9	7	4	8	7	3
ADGRF4	11	14	24	11	62	43
ADGRF5	2	0	0	0	7	2
ADGRG1	29	20	20	13	9	25
ADGRG2	47	10	28	30	17	20
ADGRG3	8	2	12	0	3	1
ADGRG4	0	0	0	0	0	0
ADGRG5	15	29	15	9	28	13
ADGRG6	54	43	73	59	125	102
ADGRG7	0	2	0	4	0	4
ADGRL1	236	201	165	118	142	134
ADGRL2	1473	1402	1602	2431	1873	1941
ADGRL3	183	62	91	110	142	63
ADGRL4	11	15	17	76	163	106
ADGRV1	271	178	320	136	182	156
ADH1A	2	3	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	1	1	1	0	1	1
ADH5	6930	6824	6831	7467	7330	5899
ADH6	16	9	11	12	7	5
ADH7	0	0	0	0	0	0
ADHFE1	34	21	40	78	126	56
ADI1	207	125	148	345	170	152
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	1	0	0
ADIPOR1	3070	2884	2641	3372	2428	2244
ADIPOR2	712	926	717	925	860	810
ADIRF	0	0	0	0	0	0
ADK	2419	3219	2654	3093	2700	2703
ADM	67	56	373	139	62	376
ADM2	16	33	24	16	22	13
ADM5	5	3	5	3	3	6
ADNP	6261	7771	6590	6948	8498	6984
ADNP2	2115	2363	2127	1760	2687	1819
ADO	190	187	157	237	113	124
ADORA1	66	79	61	270	249	170
ADORA2A	0	0	0	0	0	1
ADORA2B	149	168	192	257	310	331
ADORA3	0	4	2	0	1	0
ADPGK	890	716	609	912	574	646
ADPRH	52	59	59	54	62	39
ADPRHL1	15	20	16	19	25	18
ADPRM	347	460	459	483	561	472
ADRA1A	0	0	0	0	0	0
ADRA1B	1	0	0	1	1	0
ADRA1D	1	3	0	1	0	0
ADRA2A	4	17	12	54	35	41
ADRA2B	1	6	0	2	0	0
ADRA2C	45	56	44	17	13	19
ADRB1	9	9	15	15	8	36
ADRB2	13	8	13	13	8	11
ADRB3	0	3	4	2	20	12
ADRM1	2327	2434	1813	2815	2073	1972
ADSL	10750	12587	9870	12691	14389	9505
ADTRP	38	86	64	213	197	127
AEBP1	248	225	194	297	328	238
AEBP2	3894	2158	5514	3672	3065	2630
AEN	1816	1926	1577	1984	1951	1359
AFAP1	162	170	126	134	166	113
AFAP1L1	20	30	40	30	52	46
AFAP1L2	658	952	758	1329	1560	1354
AFF1	487	413	427	280	355	356
AFF2	22	37	24	54	59	43
AFF3	104	101	72	56	57	53
AFF4	1237	1010	1008	1204	1024	1139
AFG3L2	504	470	411	550	550	358
AFM	21	39	16	21	25	8
AFMID	731	1170	1361	1321	1242	1572
AFP	332	765	386	925	754	518
AFTPH	216	176	232	237	167	173
AGA	521	499	579	436	519	470
AGAP1	185	176	184	196	196	213
AGAP2	7	4	8	14	4	7
AGAP3	180	202	139	237	246	215
AGAP4	10	10	14	17	13	11
AGAP5	0	0	1	0	0	1
AGAP6	90	103	84	95	101	91
AGAP9	22	23	17	27	34	27
AGBL1	2	0	0	5	3	4
AGBL2	57	66	51	24	43	62
AGBL3	90	70	69	93	90	54
AGBL4	42	30	27	32	25	35
AGBL5	396	339	343	383	341	377
AGER	6	10	10	13	10	10
AGFG1	864	681	823	1153	887	609
AGFG2	35	46	24	43	55	33
AGGF1	224	216	267	305	198	247
AGK	498	520	485	644	556	483
AGL	923	827	876	825	602	584
AGMAT	29	29	37	28	25	18
AGMO	42	58	88	52	58	54
AGO1	1360	1168	1030	1059	1767	1067
AGO2	3173	2765	2517	2670	2619	2000
AGO3	863	730	685	716	663	612
AGO4	390	390	346	437	493	380
AGPAT1	13	8	7	17	21	13
AGPAT2	100	71	69	160	40	67
AGPAT3	12	21	12	21	37	27
AGPAT4	922	1296	1010	1547	2047	1484
AGPAT5	3624	3520	3484	5008	3429	2889
AGPS	1206	1042	1304	1552	1087	955
AGR2	0	1	0	3	3	3
AGR3	0	0	0	0	0	0
AGRN	29	21	26	26	45	30
AGRP	0	0	0	1	1	0
AGT	1	3	6	1	7	3
AGTPBP1	922	716	1016	804	542	718
AGTR1	0	2	0	0	0	0
AGTR2	1	0	0	0	0	0
AGTRAP	1401	1318	1306	1191	1626	990
AGXT	0	0	0	0	1	1
AGXT2	2	4	4	0	2	5
AHCTF1	761	766	647	743	552	564
AHCY	10316	10968	9864	9848	13167	8995
AHCYL1	2077	2473	2161	2679	3031	2528
AHCYL2	210	178	158	162	172	129
AHDC1	130	196	149	145	118	197
AHI1	732	773	605	858	729	785
AHNAK	998	1787	993	1532	2324	1385
AHNAK2	10	21	13	15	41	28
AHR	11	10	28	87	83	47
AHRR	5	6	6	2	11	6
AHSA1	4255	4253	3373	5481	4818	3212
AHSG	7	5	6	1	4	0
AHSP	23	12	17	1	0	1
AICDA	14	8	5	0	1	2
AIDA	114	109	114	109	91	76
AIF1	19	15	15	6	5	8
AIF1L	3294	2699	2490	1880	1966	1396
AIFM1	2294	2389	1957	2695	2859	2082
AIFM2	173	128	110	141	150	103
AIFM3	7	7	11	1	5	5
AIG1	186	213	293	212	254	263
AIM2	32	18	15	16	11	32
AIMP1	4995	6291	4967	6241	4797	4121
AIMP2	2370	2396	1897	2582	2118	1581
AIP	698	1045	770	1061	1255	934
AIPL1	4	2	7	0	2	3
AIRE	0	0	0	0	0	0
AJAP1	26	10	23	6	4	11
AJUBA	233	219	235	215	272	208
AK1	74	76	53	97	68	65
AK2	2104	2469	2087	2334	2333	2272
AK3	710	530	688	602	466	419
AK4	668	543	1522	464	705	1594
AK5	13	2	11	5	2	2
AK6	698	666	649	793	671	462
AK7	91	144	139	179	172	152
AK8	13	13	10	14	25	28
AK9	83	94	100	95	108	75
AKAP1	500	519	490	452	498	358
AKAP10	772	731	600	719	557	706
AKAP11	865	559	569	866	680	541
AKAP12	4805	4515	4142	5432	4953	3520
AKAP13	1697	1516	1327	2028	2209	1720
AKAP14	1	1	6	1	0	0
AKAP17A	0	0	0	0	0	0
AKAP3	21	28	22	15	16	22
AKAP4	5	21	33	27	100	75
AKAP5	72	103	109	154	90	85
AKAP6	22	22	27	72	50	30
AKAP7	147	146	176	197	116	134
AKAP8	686	644	567	763	619	538
AKAP8L	220	247	196	230	252	231
AKAP9	3751	3271	3370	2166	2514	2579
AKIP1	501	550	491	564	429	417
AKIRIN1	2364	1861	2135	2184	1599	1236
AKIRIN2	663	670	610	861	566	594
AKNA	21	12	35	14	18	36
AKNAD1	0	5	1	4	4	7
AKR1A1	4384	4521	4272	4141	6232	3588
AKR1B1	7205	7390	6090	10777	10126	7130
AKR1B10	3	4	9	8	21	31
AKR1B15	4	19	29	35	61	83
AKR1C1	7	17	30	78	76	67
AKR1C2	6	19	21	34	26	37
AKR1C3	23	37	49	143	125	108
AKR1C4	0	1	1	1	0	0
AKR1C8P	9	3	3	0	1	3
AKR1D1	24	13	9	9	15	15
AKR1E2	26	21	22	29	32	23
AKR7A2	104	108	104	149	107	134
AKR7A3	5	8	3	4	4	2
AKT1	247	266	200	340	331	259
AKT1S1	106	108	85	140	115	109
AKT2	352	379	332	461	351	340
AKT3	6	7	10	4	14	4
AKTIP	159	173	178	162	203	152
AL031777-2	0	0	0	0	0	0
AL121594-1	0	0	0	0	1	0
AL121753-1	0	0	0	0	0	0
AL160269-1	0	0	0	0	0	0
AL365232-1	0	0	0	0	0	0
AL391650-1	0	0	0	0	0	0
AL512428-1	0	0	0	0	0	0
AL589987-1	0	0	0	0	0	0
AL645922-1	0	0	0	0	0	0
AL713999-1	0	0	0	0	0	0
ALAD	423	543	441	681	1069	642
ALAS1	2076	2480	2097	2571	3443	2354
ALAS2	17	36	26	10	29	28
ALB	1	0	0	3	2	1
ALCAM	1525	1832	1788	7506	3672	4124
ALDH16A1	279	262	192	292	209	211
ALDH18A1	2645	2976	2433	2742	2749	2405
ALDH1A1	8	3	10	5	10	22
ALDH1A2	253	460	235	7432	3605	2239
ALDH1A3	34	60	62	19	18	16
ALDH1B1	1779	1759	1497	1956	1554	1308
ALDH1L1	25	26	21	36	22	13
ALDH1L2	38	76	71	106	85	71
ALDH2	2233	3501	3072	3006	2698	3055
ALDH3A1	9	2	5	5	6	4
ALDH3A2	1381	779	1499	728	491	508
ALDH3B1	10	11	10	12	8	12
ALDH3B2	3	4	0	0	0	1
ALDH4A1	96	103	72	85	80	43
ALDH5A1	35	35	41	36	37	37
ALDH6A1	1500	1810	1759	1494	1869	1611
ALDH7A1	3715	4130	3655	3715	4372	3986
ALDH8A1	5	1	6	5	4	4
ALDH9A1	3820	3813	3527	4686	4178	3779
ALDOA	69646	71266	76180	89220	118231	88502
ALDOB	0	0	0	1	0	2
ALDOC	1317	1355	1781	1550	2132	1897
ALG1	256	200	196	263	152	145
ALG10	118	100	148	157	118	132
ALG10B	112	79	146	134	113	98
ALG11	1119	1218	972	1629	1269	1113
ALG12	321	292	253	300	355	226
ALG13	1300	1104	1249	1543	1103	977
ALG14	749	828	593	1310	1033	766
ALG1L	16	14	34	13	22	18
ALG1L2	7	7	9	4	4	4
ALG2	461	389	390	570	258	310
ALG3	1697	1354	1247	1798	1601	1193
ALG5	2436	3010	2293	3425	2671	2533
ALG6	1198	1116	1280	1570	1166	1024
ALG8	3856	4275	3584	4543	3855	3665
ALG9	154	158	180	263	217	226
ALK	2	6	1	10	6	7
ALKBH1	1280	1350	1122	1532	1307	1105
ALKBH2	302	386	314	313	339	294
ALKBH3	239	206	122	344	320	183
ALKBH4	220	232	187	262	208	212
ALKBH5	933	1098	1022	1018	1049	1089
ALKBH6	14	4	7	6	10	9
ALKBH7	317	292	285	354	223	333
ALKBH8	619	540	472	661	479	420
ALLC	0	1	1	0	0	0
ALMS1	518	501	416	437	369	432
ALOX12	52	75	45	61	51	40
ALOX12B	2	0	6	0	0	0
ALOX15	1	2	1	0	8	1
ALOX15B	5	9	18	10	39	58
ALOX5	3	4	2	4	3	2
ALOX5AP	0	1	4	12	30	11
ALOXE3	5	1	3	0	0	0
ALPI	0	0	0	0	0	4
ALPK1	7	7	5	3	2	2
ALPK2	531	720	500	231	493	369
ALPK3	523	632	474	791	880	619
ALPL	773	399	637	310	290	284
ALPP	1	0	1	0	1	1
ALS2	1306	1499	1430	1888	1765	1461
ALS2CL	23	23	16	14	27	22
ALX1	131	195	225	300	298	316
ALX3	0	0	0	0	2	0
ALX4	104	153	113	316	339	320
ALYREF	3100	5417	4061	4122	1068	4208
AMACR	28	22	33	36	25	29
AMBN	20	8	11	5	4	10
AMBP	13	3	8	3	1	7
AMBRA1	293	277	264	246	341	245
AMD1	6679	6057	5458	7730	4779	4297
AMDHD1	14	7	21	20	16	19
AMDHD2	25	15	20	26	29	33
AMELX	0	0	0	0	0	0
AMELY	8	4	5	5	1	8
AMER1	91	97	66	68	98	56
AMER2	21	13	8	5	7	3
AMER3	46	26	30	12	17	32
AMFR	806	549	903	1043	749	545
AMH	7	3	2	4	1	1
AMHR2	148	177	130	192	270	195
AMIGO1	5	11	3	2	8	4
AMIGO2	1225	1007	1126	1268	1030	727
AMIGO3	0	0	0	0	0	0
AMMECR1	445	298	326	665	330	344
AMMECR1L	770	709	505	867	786	522
AMN	0	0	0	2	0	0
AMN1	917	1847	1425	1142	1171	1289
AMOT	362	399	314	684	803	499
AMOTL1	2732	2617	2341	2088	2822	2101
AMOTL2	948	500	493	745	433	345
AMPD1	0	0	0	0	0	0
AMPD2	378	423	353	520	674	500
AMPD3	112	168	129	158	337	324
AMPH	90	107	70	166	92	94
AMT	632	557	581	440	739	445
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	1	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	1	0	0	0	0
AMY2B	5	6	6	0	2	8
AMZ1	23	23	13	11	24	23
AMZ2	2802	3311	3374	2727	2707	3241
ANAPC1	397	377	335	380	302	325
ANAPC10	1028	907	937	1348	1225	808
ANAPC11	6325	9071	7358	7489	9171	8045
ANAPC13	5481	6021	4929	8457	6277	5408
ANAPC15	681	710	586	869	810	638
ANAPC16	2888	3208	3388	3445	2956	3275
ANAPC2	88	60	52	89	79	57
ANAPC4	1351	1225	1202	1273	1044	970
ANAPC5	8479	9703	8838	9901	10358	8905
ANAPC7	1906	1891	1705	1928	1819	1688
ANG	120	147	125	94	108	144
ANGEL1	414	358	352	298	365	284
ANGEL2	1560	1316	1268	1764	1158	1125
ANGPT1	110	96	90	679	297	244
ANGPT2	879	1586	1110	4216	4939	2398
ANGPT4	11	5	9	7	2	10
ANGPTL1	12	1	9	4	6	11
ANGPTL2	527	510	241	405	411	295
ANGPTL3	3	3	1	5	2	1
ANGPTL4	27	40	80	59	87	335
ANGPTL5	10	4	11	18	10	9
ANGPTL6	0	0	2	1	1	3
ANGPTL7	1	1	0	2	1	2
ANHX	0	0	0	0	0	0
ANK1	16	16	14	9	14	12
ANK2	437	277	346	278	314	328
ANK3	280	213	276	277	398	419
ANKAR	62	44	45	77	56	53
ANKDD1A	92	85	81	94	104	86
ANKDD1B	5	7	11	9	5	3
ANKEF1	258	198	236	92	74	92
ANKFN1	5	14	2	22	9	13
ANKFY1	1061	949	789	1105	1255	791
ANKH	148	136	82	94	118	77
ANKHD1	109	91	71	111	91	91
ANKIB1	1128	953	994	1066	1171	841
ANKK1	1	0	0	1	0	0
ANKLE1	34	24	16	25	27	20
ANKLE2	848	726	778	744	685	778
ANKMY1	74	79	79	100	106	70
ANKMY2	1415	1888	1670	1829	1924	1796
ANKRA2	400	436	456	553	586	436
ANKRD1	172	119	114	54	26	59
ANKRD10	7810	7053	6212	8472	8783	7276
ANKRD11	1709	1834	1420	1779	1667	1466
ANKRD12	2353	2250	3220	2256	1920	2360
ANKRD13A	371	397	387	359	365	350
ANKRD13B	50	46	31	49	69	67
ANKRD13C	1134	917	1068	1344	762	830
ANKRD13D	160	152	148	171	213	163
ANKRD16	33	34	37	26	32	42
ANKRD17	2665	3103	2233	2738	3174	2260
ANKRD18A	25	23	31	6	14	10
ANKRD18B	44	34	51	24	29	53
ANKRD2	0	0	0	0	0	0
ANKRD20A1	1	1	2	0	0	1
