pos	neg
DLK2	DMP1
DLL4	DMRT1
DNM3	DMRTA1
DNM3OS	DMRTB1
DOCK8	DNAAF3
DPP7	DNAH11
DPYSL3	DNAH2
DUSP4	DNAH8
ECM1	DNMT3L
ECSCR	DPP10-AS1
EDIL3	DPP6
EDN1	DPPA2
EDNRA	DPPA5
EGFEM1P	DSC1
EGFLAM	DTWD2
EIF1AY	DTX1
ELK3	DTX3L
ELOVL2	DYDC2
ELSPBP1	EDAR
EMILIN1	EDNRB
EMP1	EFCAB10
ENDOD1	EFCAB8
ENOX1	EFEMP1
ENPP2	EGF
ENTPD3	EIF4E3
EPHA7	ELF3
EPHB1	ELL2
ERBB4	ENHO
ERG	ENPP5
ERVV-2	ENPP7P8
ESAM	EOMES
ESM1	EPB41L4B
F2RL2	EPB42
F5	EPCAM
FABP3	EPHA1
FAM114A1	EPHA1-AS1
FAM124B	EPHA6
FAM178B	EPHX3
FAM196B	EPPK1
FAM198B	ERBB3
FAM212A	ERC2-IT1
FAM26E	ERICH2
FAM46A	ERICH5
FAM46C	ESRG
FAM78B	ESRP1
FAT4	ESRP2
FBLN2	ESRRG
FBN1	ETNPPL
FGL2	EVA1A
FHOD3	EXTL3-AS1
FIBIN	F11R
FLI1	FA2H
FLRT2	FAAH2
FLT1	FABP5
FMO5	FABP7
FN1	FALEC
FRMPD4	FAM111A
FTLP16	FAM124A
FZD7	FAM129A
GAB2	FAM131B
GABRA6	FAM134B
GABRE	FAM159B
GALNT15	FAM167A
GAP43	FAM189A2
GAPDHP37	FAM19A4
GATA5	FAM20A
GBGT1	FAM20C
GBP2	FAM46B
GBP5	FAM65B
GFOD1	FAM83B
GFRA2	FAM84A
GFRA3	FAM84B
GJA4	FAM9C
GJB1	FAR2P2
GLRB	FBXL21
GLRX	FBXO27
GLRXP3	FCHO1
GMFG	FCRL5
GMNC	FENDRR
GNA14	FGF12
GNG11	FGF13
GNRH2	FGF13-AS1
GOLGA8VP	FGF17
GPBAR1	FGF2
GPD1L	FGF4
GPR137B	FGFBP1
GPR155	FGFBP3
GPR162	FHDC1
GPX2	FMN1
GREM2	FOXA2
GRIA1	FOXA3
GRIK2	FOXB1
GRIP1	FOXD3-AS1
GRM8	FOXH1
GS1-24F4.2	FST
GSTA2	FSTL4
GSTM5P1	FXYD2
GUCY1A3	GABBR2
GUCY1B3	GABRA1
H19	GABRA5
HAND2	GABRB3
HAND2-AS1	GABRG2
HAVCR1	GABRP
HGD	GAD1
HGF	GAL
HHIP	GAL3ST1
HHIP-AS1	GALNT3
HNF4A	GAS1
HOPX	GBX2
HOTTIP	GCA
HOXA13	GCH1
HP	GCNT2
HPR	GDAP1L1
HPSE2	GDF3
HS3ST1	GDPD2
HS3ST4	GH2
HSPB6	GIPC2
HTN1	GJC3
HTN3	GLB1L3
HTR1E	GLDC
HTR2A	GLIPR1L1
HTRA1	GLIS3-AS1
IGF2	GOLGA2P5
IGFBP5	GOLT1A
IGFBP7	GPANK1
IGSF10	GPHA2
IL13RA2	GPR160
IL18R1	GPR83
IL1A	GPRIN3
IL1R2	GRAMD2
IL2RB	GRB14
IL33	GRB7
IL7R	GRHL2
IMPG2	GRHL3
INHBA	GRID2
INPP1	GRIK3
ITGA10	GRIN2A
ITGA2	GRM2
ITGA3	GRM4
ITGA4	GRP
ITGA8	GSAP
ITGAV	GSTM5
ITIH1	GTF3AP5
ITIH5	GTSF1
ITPRIPL2	GYLTL1B
JAM2	GYPA
KB-1205A7.1	GYPB
KB-1410C5.3	HAGLR
KB-1732A1.1	HAS3
KCNA3	HCN4
KCNAB3	HCRTR2
KCND3	HDC
KCND3-AS1	HERC5
KCNJ2	HERC6
KCNK10	HHLA1
KCNMA1	HID1
KCNQ5	HLA-DOA
KCTD12	HOOK1
KIAA1324	HOXA-AS3
KIAA1671	HOXA5
KIAA1683	HOXA6
KLHL14	HOXB-AS3
KLHL4	HOXC4
KLHL41	HOXC8
KLHL6	HOXD8
KRT18P63	HOXD9
KRT19P2	HPGD
KYNU	HPN
LAMP3	HRASLS5
LANCL1	HRK
LAPTM5	HSH2D
LBX2-AS1	ID1
LGALS1	ID3
LGALS2	IDO1
LGALS9	IFIT1
LGI1	IFIT2
LIMCH1	IFITM1
LINC00327	IFNLR1
LINC00457	IL10
LINC00675	IL12RB2
LINC00857	IL15
LINC00886	IL1B
LINC00920	IL1RAPL1
LINC01091	IL20RA
LINC01305	IL23A
LINC01479	IL34
LINC01537	ILDR1
LINC01549	IMPG1
LINC01597	INADL
LINGO2	INHBE
LIX1	INSRR
LMO2	IQGAP2
LMO3	IRF6
LNPEP	ITGA6
LOX	ITGAM
LOXL1	ITPR3
LOXL2	JADE2
LRP11	JAKMIP1
LRP1B	JMJD7
LRRC17	JPH1
LRRC32	KANTR
LTBP2	KB-173C10.2
LTK	KB-68A7.2
LUM	KCND2
LY6K	KCNG3
MAGI2-AS3	KCNH7
MAN1A1	KCNH8
MAP3K6	KCNIP2
MASP1	KCNJ3
MBNL1	KCNQ3
MBNL2	KCNS3
MC4R	KCNV1
MCHR1	KDF1
MECOM	KHDRBS2
MEF2C	KIF1A
MEIS1	KIF5C
METTL7A	KLK13
MGAT4A	KLK5
MGP	KLKB1
MICAL2	KLRG2
MIR155HG	KRT16
MIR181A1HG	KRT16P1
MIR181A2HG	KRT16P3
MIR503HG	KRT18P38
MMP1	KRTCAP3
MMP28	KSR2
MMRN1	L1TD1
MORC4	LA16c-380H5.5
MPP4	LAD1
MPPED2	LAMC2
MRAP2	LCK
MRPL53P1	LDHC
MS4A2	LDHD
MS4A3	LECT1
MS4A4A	LECT2
MS4A6A	LEFTY1
MSRB3	LGALS3BP
MTUS2	LGR5
MVB12B	LHX6
MYBPH	LINC-ROR
MYL10	LINC00239
MYLIP	LINC00371
NAALAD2	LINC00428
NANOGNB	LINC00458
NAV3	LINC00467
NCALD	LINC00668
NCR3LG1	LINC00678
NDNF	LINC00707
NDP	LINC00861
NDRG1	LINC00882
NDUFB8P2	LINC00992
NEFL	LINC01108
NEFM	LINC01116
NEK5	LINC01192
NFATC1	LINC01194
NFATC2	LINC01315
NFE4	LINC01356
NFIA	LINC01378
NID2	LINC01405
NIPAL4	LINC01467
NKAIN4	LINC01473
NKX2-5	LINC01482
NLGN1	LL0XNC01-116E7.2
NMUR2	LL22NC03-N95F10.1
NNMT	LRAT
NPNT	LRG1
NPR3	LSR
NR2F1-AS1	LURAP1L-AS1
NR2F2	LY75
NRN1	LYPD3
NT5E	LZTS1-AS1
NTRK2	MACC1
NTRK3	MACC1-AS1
NXPH3	MAFA
ODAM	MAGEA11
ODF3B	MAGEA4
ODF3L1	MAGEB17
OIT3	MAGI2
OLFML2B	MAL2
OR10V3P	MANEAL
OSBPL10	MAP4K1
OSBPL10-AS1	MAP7
OSMR	MARVELD2
P2RX6	MARVELD3
P2RY1	MBNL3
PALMD	MBP
PAMR1	MCTP2
PAPPA	MDGA2
PAQR8	MED12L
PARM1	MEDAG
PARVA	MEPE
PCDH11Y	MESP1
PCDH12	MESP2
PCDH15	MGAT4C
PCDH17	MGC32805
PCDH7	MIAT
PCDHAC1	MIR205HG
PCDHAC2	MIR367
PCDHB10	MIR4697HG
PCDHB11	MIR93
PCDHB13	MIXL1
PCOLCE	MMP13
PDE11A	MMP25
PDE4B	MOCOS
PDGFC	MPP7
PDLIM3	MPZL3
PDPN	MST1R
PDZK1	MT1F
PEAR1	MT1G
PECAM1	MT1X
PGA5	MTCL1
PGBD5	MTL5
PGM5	MTMR7
PGR	MUC16
PHF19	MUC3A
PHF24	MYBPC2
PHKA1	MYCT1
PID1	MYEF2
PIK3IP1	MYO5C
PITPNM2	MYRIP
PITX1	NANOG
PITX2	NANOGP1
PKDCC	NANOGP8
PLA2G12B	NANOS1
PLAGL1	NAT2
PLAT	NAV2-AS2
PLCB4	NCAN
PLCL1	NDST4
PLD1	NDUFA6-AS1
PLEK2	NFASC
PLK2	NFE2
PLSCR5	NFE2L3
PLVAP	NIPA1
PLXNA4	NKAIN2
PPARGC1A	NKAPL
PPFIBP2	NKX1-2
PPP1R12B	NLRP12
PRDM1	NMRK2
PRKCA	NMU
PRKCE	NODAL
PROX1	NOS2
PRPH	NR3C2
PRR9	NR5A2
PRRX1	NRG2
PTGFR	NTNG1
PTPRB	NTS
PTPRH	OAS1
PTPRN	OCIAD2
RAB7B	OCLN
RAC2	OGDHL
RANBP3L	OLFM2
RAPGEF5	OOEP
RARB	OPRK1
RBMS3	OR52A1
RBMS3-AS2	OR5H5P
RBMS3-AS3	OR7E12P
RELN	OSGIN2
REN	OSR1
RERG	OVOL1
RFTN2	OVOL2
RGN	P2RY13
RGR	P3H2-AS1
RGS1	PADI2
RGS2	PAH
RGS5	PAICSP7
RHOBTB1	PAIP2B
RHOH	PAK6
RHOJ	PAQR5
RIMS1	PAX3
RIMS3	PAX9
RIN2	PCAT14
RNASE1	PCDH1
RNF207	PCP4L1
RP1-140J1.4	PCSK1
RP1-239B22.5	PCSK9
RP1-45C12.1	PDE1B
RP1-79C4.4	PI15
RP11-1018N14.5	PIFO
RP11-107E5.3	PIK3AP1
RP11-115J16.1	PIK3CB
RP11-120I21.2	PIM2
RP11-138H10.2	PIP5KL1
RP11-138I17.1	PIPOX
RP11-13K12.1	PIWIL2
RP11-148L24.1	PKHD1
RP11-14N7.2	PKIA
RP11-150O12.3	PKP4P1
RP11-155L15.1	PLA2G16
RP11-161D15.3	PLAC8
RP11-166D19.1	PLCH1
RP11-185E8.2	PLEKHG6
RP11-197N18.8	PLP1
RP11-219E7.4	PLXDC2
RP11-254F19.4	PMAIP1
RP11-266A24.1	PMEL
RP11-267C16.1	POU2F3
RP11-281A20.2	POU3F1
RP11-283C24.1	POU5F1
RP11-284N8.3	PPAP2C
RP11-28P17.3	PPL
RP11-301G19.1	PPM1H
RP11-305O6.3	PPM1J
RP11-30B1.1	PPM1N
RP11-319F12.2	PPP1R14C
RP11-326C3.7	PPP1R1A
RP11-378I6.1	PPP1R1B
RP11-384F7.2	PPP2R2C
RP11-38M8.1	PRDM14
RP11-392O17.1	PRKAA2
RP11-392P7.6	PRKCG
RP11-394O4.5	PRKCQ
RP11-396F22.1	PRKCQ-AS1
RP11-410K21.2	PRKG1
RP11-432J24.5	PRLR
RP11-436K8.1	PROM1
RP11-449D8.5	PRR15
RP11-456K23.1	PRSS16
RP11-462L8.1	PRSS45
RP11-473E2.2	PRSS8
RP11-478H13.4	PRUNE2
RP11-479G22.8	PSMB8
RP11-51J9.4	PTCHD1
RP11-522B15.6	PTGER2
RP11-524D16__A.3	PTGIS
RP11-549K20.1	PTPN20
RP11-57K17.1	PTPRZ1
RP11-587D21.4	PYCARD
RP11-588K22.2	PYDC1
RP11-589N15.2	PYY
RP11-58O3.2	QRFPR
RP11-597D13.9	RAB17
RP11-59D5__B.2	RAB25
RP11-616K22.1	RAB39B
RP11-620J15.1	RAB3B
RP11-626G11.4	RAD17P2
